PRPF8	YHR165C
HIRA	YOR038C
CHIA	YDR371W
RPL31	YLR406C
RHEB	YCR027C
LCMT2	YOL141W
RPS20	YHL015W
ABHD1	YMR210W
LUC7L	YDL087C
NUDT5	YBR111C
MAEA	YIL097W
NCAPH	YBL097W
POLL	YCR014C
TST	YOR251C
EPC2	YFL024C
PAK1IP1	YKL021C
SLC16A6	YKL221W
UTP6	YDR449C
TEX261	YHR181W
UBXN7	YDR330W
SUGT1	YOR057W
GTF2A1	YOR194C
ARFGAP1	YDL226C
EMC3	YKL207W
GLUD1	YAL062W
WIPI2	YPL100W
TMED10	YML012W
PGAP3	YCR044C
SLC8B1	YJR106W
ATG4B	YNL223W
BAZ1B	YGL133W
CRY1	YOR386W
RPL35	YDL191W
SEC16A	YPL085W
GALM	YHR210C
WDR48	YOL087C
SLC35C2	YML038C
PTRH2	YBL057C
CCNC	YNL025C
NAGS	YER069W
IST1	YNL265C
SMPD2	YER019W
ITPA	YJR069C
TMEM184C	YKR051W
VBP1	YGR078C
CCDC25	YMR132C
GTF2E1	YKL028W
HGH1	YGR187C
AHSA1	YDR214W
RNF20	YDL074C
SEL1L2	YLR207W
SNRPD2	YLR275W
UTP11	YKL099C
EIF2D	YDR117C
GFER	YGR029W
ORC4	YPR162C
HAAO	YJR025C
MT-ATP6	Q0085
HAT1	YPL001W
SMPDL3B	YDR452W
AMMECR1	YOR289W
FKBP2	YDR519W
SLC25A19	YGR096W
OGFOD1	YER049W
ACP1	YPR073C
OMA1	YKR087C
PTPN2	YDL230W
GPX4	YBR244W
YJU2	YKL095W
CWF19L1	YGR093W
EDF1	YOR298C-A
ENOPH1	YEL038W
WDR24	YOL138C
NAF1	YNL124W
STXBP5	YBL106C
LSM2	YBL026W
SMAP2	YIL044C
STAM2	YHL002W
ANAPC2	YLR127C
PSMD9	YIL007C
PARL	YGR101W
PSMD8	YFR052W
BCKDK	YIL042C
VDAC3	YNL055C
TIA1	YHR086W
HDHD5	YKR070W
OSGEPL1	YDL104C
TRMT6	YNL062C
CLP1	YOR250C
ZDHHC15	YNL326C
MAOB	YMR020W
COPZ1	YPL010W
WEE1	YJL187C
TREH	YBR001C
EXOC6B	YGL233W
TP53RK	YGR262C
SCYL1	YOR112W
ASNSD1	YML096W
ATP5PO	YDR298C
PUDP	YKL033W-A
ADAT2	YJL035C
WDR43	YDR398W
ABCA3	YOR153W
RPS10	YOR293W
RPL34	YER056C-A
GOLT1B	YMR292W
TECR	YDL015C
TMF1	YJR134C
PSME4	YFL007W
TIMELESS	YNL273W
PPTC7	YHR076W
DMAP1	YGR002C
MRPL11	YNL185C
NDC80	YIL144W
SP1	YOR113W
TMED9	YGL002W
PYCR1	YER023W
RPL22L1	YLR061W
TRIP10	YHR114W
PDE12	YML118W
UGGT2	YOR336W
RPLP2	YDR382W
MRPL2	YEL050C
SLC13A1	YNR013C
TCP11L2	YDR006C
PCBP1	YBR233W
SP3	YNL027W
DPH2	YKL191W
POLR3F	YNR003C
LCMT1	YDR435C
CCNH	YPR025C
STX1A	YMR183C
CHKB	YLR133W
SLC35G1	YPL264C
CSTF2	YGL044C
SNW1	YAL032C
RNF14	YML068W
GLRX5	YPL059W
PBDC1	YPL225W
CDC25C	YMR036C
PDCL2	YOR281C
XPA	YMR201C
EXOSC3	YOL142W
KCNAB2	YPL088W
GRPEL1	YOR232W
SLX1A SLX1B	YBR228W
IMPACT	YCR059C
SNX30	YJL036W
PSMD10	YGR232W
UBQLN1	YMR276W
NACA	YHR193C
PTGR1	YML131W
TP53I3	YBR046C
ATP6V1F	YGR020C
CHMP5	YDR486C
SNRNP70	YIL061C
GCSH	YAL044C
NOB1	YOR056C
IMMP2L	YMR035W
POLR2I	YGL070C
HTATSF1	YNL286W
MRPS12	YNR036C
ATP23	YNR020C
SLC16A14	YOR306C
WASL	YOR181W
HACD1	YJL097W
SETD6	YDR257C
RBKS	YCR036W
UTP23	YOR004W
PPOX	YER014W
SLC7A14	YFL055W
PRKAB2	YGL208W
COQ3	YOL096C
POLR3K	YDR045C
FDX2	YPL252C
TERT	YLR318W
DHRSX	YOR246C
SMARCD1	YNR023W
SMARCD3	YCR052W
LSM14B	YPR129W
RMND5A	YDR255C
N6AMT1	YDR140W
WDR76	YDL156W
PFDN5	YML094W
SEC14L4	YKL091C
MRS2	YPL060W
POLR2L	YOR210W
PAAF1	YGL004C
WDHD1	YPR135W
ADA	YNL141W
RBSN	YDR323C
ABT1	YNR054C
INVS	YIL112W
TSG101	YCL008C
FOXK2	YPR104C
ING3	YNL097C
RAD18	YCR066W
GPLD1	YJL132W
MSRA	YER042W
ADHFE1	YGL256W
OPHN1	YBR260C
RPS16	YDL083C
TMED2	YGL200C
SENP5	YPL020C
AQP1	YPR192W
AGPAT4	YBR042C
STRIP1	YNL127W
MAF1	YDR005C
VTI1A	YMR197C
TTC39C	YJL082W
TTC39A	YKR018C
SOAT1	YCR048W
LCAT	YNR008W
FAF2	YDL091C
TSEN2	YLR105C
PRPF19	YLL036C
PEX13	YLR191W
MRPL12	YGL068W
TRPT1	YOL102C
CDC73	YLR418C
DR1	YDR397C
ANAPC10	YGL240W
REEP5	YPR028W
SNRPD3	YLR147C
SNX8	YMR004W
YPEL4	YBL049W
CFL1	YLL050C
DYNLL1	YDR424C
PRELID3B	YLR168C
CHAC2	YER163C
TXN	YGR209C
SLC35B1	YPL244C
MTG1	YMR097C
RNPS1	YGR159C
CRLS1	YDL142C
UBL5	YNR032C-A
COG4	YPR105C
CTNS	YCR075C
POLR3C	YPR190C
TRAPPC5	YDR472W
RPL36	YPL249C-A
SLC66A1	YOL092W
TPK1	YOR143C
IAH1	YOR126C
SUPT3H	YDR392W
ING4	YHR090C
ABR	YPL115C
PGRMC1	YPL170W
EIF2B3	YOR260W
PRELID1	YLR193C
SP4	YMR037C
MPC2	YGR243W
RANBP3	YIL063C
MRPL15	YNL284C
CDA	YLR245C
NOP9	YJL010C
MND1	YGL183C
ELOVL2	YCR034W
SNX3	YOR357C
ELOVL6	YJL196C
TTC4	YBR155W
NCBP1	YMR125W
DCUN1D1	YLR128W
ARHGAP17	YDR389W
TVP23B	YDR084C
SLC35E1	YOR307C
YIF1B	YNL263C
SIGMAR1	YMR202W
LAS1L	YKR063C
PIGL	YMR281W
NOP53	YPL146C
DPM1	YPR183W
RPP30	YHR062C
HSD17B11	YDL114W
SYDE2	YDR379W
GID4	YBR105C
CLIP1	YPL174C
RIDA	YER057C
SURF6	YKL082C
TRAPPC2	YBR254C
LSM1	YJL124C
ASPSCR1	YMR067C
ACOT8	YJR019C
TYW3	YGL050W
DOLPP1	YGR036C
BIN3	YCR009C
TACO1	YGR021W
POLH	YDR419W
CHMP6	YMR077C
PEX10	YDR265W
SDHAF2	YOL071W
ORMDL3	YGR038W
SCAF4	YNL251C
PRUNE1	YHR201C
GEN1	YER041W
NUS1	YDL193W
ATP5MC1	Q0130
CHCHD2	YMR002W
CKS2	YBR135W
EXOC3	YIL068C
RBM23	YNL175C
ATXN2L	YGR178C
PIGS	YDR434W
PINX1	YGR280C
EXOSC5	YGR095C
MED7	YOL135C
VPS25	YJR102C
VPS54	YDR027C
PLA2G4F	YMR006C
PLA2G4A	YNL012W
PLA2G4C	YMR008C
DPYSL5	YIR027C
TSEN54	YPL083C
MRPL13	YOR150W
TUBGCP2	YHR172W
TTI1	YKL033W
NUTF2	YER009W
ALG14	YBR070C
SLC43A1	YMR221C
DERL2	YDR411C
ADAT1	YGL243W
TAF7L	YMR227C
MRPS2	YHL004W
PCID2	YJR084W
PEX12	YMR026C
DENR	YJR014W
SV2B	YML123C
DDX58	YIR002C
TXNDC9	YDR183W
IGBP1	YMR028W
MTHFS	YER183C
FHIT	YDR305C
ZNF148	YER028C
TIMM22	YDL217C
IMMP1L	YMR150C
AGXT	YFL030W
ELOF1	YKL160W
CYP3A5	YDR402C
GIGYF1	YBR172C
ZMIZ2	YDR409W
TMEM87B	YKL039W
CYB5B	YNL111C
HMCES	YMR114C
POLR2F	YPR187W
GET4	YOR164C
VPS28	YPL065W
RTN4IP1	YMR152W
AKR7A3	YNL331C
TAGLN2	YOR367W
COX6B1	YLR038C
TAF9B	YMR236W
SLC29A3	YAL022C
SOX4	YPR065W
ELOVL4	YLR372W
TMBIM1	YNL305C
NIFK	YNL110C
MTFMT	YBL013W
SUPT4H1	YGR063C
ZC3H14	YGL122C
WDR89	YNL035C
RPLP1	YDL081C
RBMS1	YGR250C
DBI	YGR037C
RPS29	YLR388W
MCUR1	YFL046W
VPS72	YDR485C
TRNT1	YER168C
IDNK	YDR248C
TBC1D25	YOR070C
ELAVL1	YCL011C
RASGEF1B	YCR038C
SFPQ	YDR432W
TMEM63A	YLR241W
RPA2	YNL312W
PFDN4	YNL153C
PEX14	YGL153W
TDP1	YBR223C
PAM16	YJL104W
SNRPF	YPR182W
TTK	YJL165C
METTL21A	YNL024C
ABHD4	YLR099C
DAD1	YOR103C
NUP107	YDL116W
THUMPD1	YGL232W
MAGT1	YOR085W
MPV17	YLR251W
URM1	YIL008W
MED6	YHR058C
PKP1	YEL013W
DNAJB8	YMR161W
SGPP1	YJL134W
SGPP2	YKR053C
R3HDM2	YDL189W
ATG16L1	YKR036C
HSPE1	YOR020C
LSM5	YER146W
MFSD8	YCR023C
GNPNAT1	YFL017C
CERS4	YHL003C
CERS5	YKL008C
VAMP4	YOR327C
TOMM40	YMR203W
RCE1	YMR274C
NAA35	YEL053C
WDR4	YDR165W
ATP5F1D	YDL004W
C2orf76	YKR074W
ZFAND1	YNL155W
GOSR1	YHL031C
TRAPPC10	YMR218C
EPHB4	YDL214C
LARP1B	YDR515W
HSD11B1	YIR035C
FBXO9	YLR097C
PRPF39	YDR235W
PAF1	YBR279W
SLC5A5	YHL016C
RPL39	YJL189W
HSD17B7	YLR100W
CMBL	YAL049C
ERG28	YER044C
LIPT2	YLR239C
GTF2H1	YDR311W
SLC39A3	YLR130C
SLC39A2	YGL255W
TWF2	YGR080W
RRP36	YOR287C
MGLL	YKL094W
POLR1E	YNL248C
CFDP1	YBR231C
TBCB	YNL148C
PFDN2	YEL003W
RANBP10	YMR171C
RPRD1B	YDR289C
TRAPPC4	YDR246W
MYBBP1A	YEL055C
SNRPG	YFL017W-A
MDP1	YER134C
PDCD2	YOL022C
VEZF1	YGL035C
PSPH	YGR208W
KTI12	YKL110C
DUSP4	YIL113W
H1-0	YPL127C
COX5A	YHR051W
SART1	YOR308C
ORC5	YNL261W
METTL18	YIL110W
IBA57	YJR122W
SNRPD1	YGR074W
ZNF763	YDR146C
ATP6V1G1	YHR039C-A
POLR1H	YJR063W
A4GNT	YPL057C
MTHFD2	YKR080W
SLU7	YDR088C
XRCC6	YMR284W
TRAPPC1	YML077W
MRPL58	YOL114C
VAPA	YER120W
PPP1R3D	YER054C
UBXN4	YJL048C
SETD3	YHL039W
PABPC1L2A PABPC1L2B	YOR319W
ECI2	YOR180C
TMEM115	YOL107W
SLC66A2	YMR010W
STYX	YNL053W
TLDC2	YPL196W
LSM3	YLR438C-A
POU4F2	YML027W
NOP10	YHR072W-A
NAA25	YOL076W
HSCB	YGL018C
PBLD	YHR029C
TSR2	YLR435W
CREB5	YNL167C
ANO8	YBR086C
MPPE1	YDR182W
SRP68	YPL243W
TSEN34	YAR008W
NDUFAB1	YKL192C
MRGBP	YNL136W
NUF2	YOL069W
EMC4	YGL231C
ELOC	YPL046C
GLRX2	YDR513W
ZCCHC7	YIL079C
TMEM241	YGL225W
UTP3	YDL153C
FIS1	YIL065C
WDR18	YNL182C
GINS2	YJL072C
BCCIP	YDR361C
UQCRB	YDR529C
PEF1	YGR058W
BCAP31	YDL072C
THOC3	YNL253W
TLCD4	YJR116W
LSM12	YHR121W
TIMM10	YHR005C-A
POP4	YBR257W
MINPP1	YAR071W
UCK2	YDR020C
COX19	YLL018C-A
TIMM9	YEL020W-A
NSMCE4A	YDL105W
ZYX	YKR090W
GLE1	YDL207W
ATG5	YPL149W
GINS1	YDR013W
ISCA2	YPR067W
LEPROTL1	YJR044C
TRAPPC6A	YOR115C
TMLHE	YHL021C
GAS7	YFL047W
SRXN1	YKL086W
HDHD3	YMR130W
DHODH	YKL216W
COQ9	YLR201C
PFN4	YOR122C
RRP15	YPR143W
HMGB3	YMR072W
SH3GL1	YDR162C
AIFM3	YHR106W
ATF2	YER045C
SUMO1	YDR510W
POLR3D	YDL150W
TIMM13	YGR181W
UROS	YOR278W
GINS4	YDR489W
SRD5A3	YIL049W
PAICS	YOR128C
TFIP11	YLR424W
SEC61G	YDR086C
RANGRF	YJR074W
SLC22A15	YBR043C
NUP54	YGR119C
MTRFR	YLR281C
DNAJB7	YFR041C
TRMT112	YNR046W
TTF1	YDR026C
DYNC1I1	YDR488C
PEBP1	YLR179C
ARPC5L	YIL062C
CAPN7	YMR154C
TPRKB	YML036W
EXOC2	YDR166C
ATP5PB	YPL078C
POLE3	YDR121W
WDR74	YGL111W
MRPL36	YPL183W-A
LSM6	YDR378C
TIMM8A	YJR135W-A
RPL38	YLR325C
DSCC1	YCL016C
TANGO2	YGR127W
FAM86B2	YJR129C
PLSCR1	YJR100C
JUNB	YEL009C
TAF13	YML098W
ADAT3	YLR316C
CZIB	YCR090C
PATL1	YCR077C
HSF5	YHR206W
SLC31A1	YHR175W
ROMO1	YPL098C
ABHD6	YNR064C
ELP4	YPL101W
GDPD1	YPL206C
HEMK1	YNL063W
MED10	YPR168W
GTF2E2	YKR062W
CRCP	YJL011C
BOLA3	YAL046C
AIFM2	YNR074C
MRPL46	YNL252C
PIGF	YDR302W
PI15	YJL079C
HSFY1 HSFY2	YOR140W
NMRK2	YNL129W
IER3IP1	YER074W-A
RABAC1	YNL044W
COX6A1	YGL191W
TOMM20	YGR082W
METTL21C	YLR285W
AAR2	YBL074C
MRPS16	YPL013C
PDCD5	YMR074C
PIGV	YBR004C
HINT1	YDL125C
NGRN	YNL213C
RAD21	YDL003W
TBCA	YOR265W
MRPL17	YJL063C
YIPF1	YGL161C
UBL4A	YOL111C
SNRPA1	YPL213W
PRDX5	YLR109W
PTGES3	YKL117W
SDHAF3	YDR511W
TMEM97	YLR050C
ZMAT2	YDL098C
BOLA2B	YGL220W
ARHGAP1	YJL201W
C7orf50	YCR016W
MRPL4	YML025C
NSMCE1	YLR007W
POLR2K	YHR143W-A
GINS3	YOL146W
COX5B	YGL187C
CRYM	YGL159W
KLF17	YPR013C
PEX3	YDR329C
BOLA1	YAL044W-A
ATP5PD	YKL016C
SDHC	YMR118C
COX17	YLL009C
HMOX1	YLR205C
GSTO1	YLL060C
LSM8	YJR022W
SIL1	YOL031C
DHDH	YMR315W
SYS1	YJL004C
ENY2	YBR111W-A
PIGC	YPL076W
PEX2	YJL210W
UBE3D	YJR141W
SF3B6	YIR005W
SLC44A1	YOR161C
HMGCLL1	YDL131W
SFT2D2	YBL102W
GID8	YMR135C
SLC30A9	YPL224C
NAA50	YOR253W
RGN	YBR053C
DNAJC24	YJR097W
COPE	YIL076W
ACOD1	YPR002W
LARP6	YDL051W
BHMT2	YPL273W
BHMT	YLL062C
CHRAC1	YJL065C
PEX11A	YOL147C
MRPL44	YMR024W
TMEM14B	YJR085C
ZNF367	YPR015C
VTA1	YLR181C
POMP	YBR173C
EMC2	YJR088C
ATOX1	YNL259C
HIKESHI	YOL032W
TMEM33	YLL023C
ANKRD30BL	YPL239W
PPP1R27	YGL242C
MRPS6	YKL003C
ANKRD46	YCR051W
MAGEB1	YDR288W
AANAT	YDR071C
USE1	YGL098W
GPR89A	YHR078W
RPUSD4	YLR165C
MRPL32	YCR003W
LTO1	YNL260C
PCBD1	YHL018W
POP5	YAL033W
