FBgn0033688	YHR165C
FBgn0002284	YBL041W
FBgn0011708	YLR026C
FBgn0036760	YDL236W
FBgn0023535	YPL111W
FBgn0031310	YHR012W
FBgn0032750	YLR405W
FBgn0001197	YOL012C
FBgn0250791	YBL050W
FBgn0039254	YGR010W
FBgn0035853	YLR306W
FBgn0029833	YER007C-A
FBgn0029789	YFL025C
FBgn0036534	YNL118C
FBgn0032596	YER012W
FBgn0036211	YIL043C
FBgn0019925	YGR284C
FBgn0039132	YLR170C
FBgn0038309	YNL142W
FBgn0262740	YPL249C
FBgn0262467	YBR037C
FBgn0038593	YDL077C
FBgn0003462	YJR104C
FBgn0030789	YDR280W
FBgn0037370	YNL274C
FBgn0015376	YMR078C
FBgn0029958	YOR090C
FBgn0004698	YER162C
FBgn0031640	YGL124C
FBgn0000382	YER075C
FBgn0264325	YPL120W
FBgn0031260	YKL100C
FBgn0036516	YDR054C
FBgn0037182	YER122C
FBgn0031980	YNL162W
FBgn0037332	YDL141W
FBgn0035024	YDR266C
FBgn0038925	YAL039C
FBgn0039581	YJR032W
FBgn0040066	YBR175W
FBgn0032509	YER174C
FBgn0015527	YDR496C
FBgn0028540	YMR099C
FBgn0020655	YDL226C
FBgn0036772	YNL313C
FBgn0029975	YBR159W
FBgn0250874	YPL063W
FBgn0011272	YDL082W
FBgn0034032	YML018C
FBgn0052174	YDR204W
FBgn0027779	YPR036W
FBgn0015321	YDR177W
FBgn0261112	YPR180W
FBgn0000482	YLR148W
FBgn0259228	YLR310C
FBgn0034299	YJR057W
FBgn0035951	YHR075C
FBgn0263977	YJL143W
FBgn0052484	YOR171C
FBgn0030300	YLR260W
FBgn0250746	YFR050C
FBgn0025109	YNL320W
FBgn0039958	YJR142W
FBgn0027082	YER087W
FBgn0037491	YPL236C
FBgn0025637	YDR328C
FBgn0036805	YKR035W-A
FBgn0028475	YLR207W
FBgn0032036	YNL101W
FBgn0033215	YOR245C
FBgn0037024	YDR272W
FBgn0002566	YDR080W
FBgn0027864	YML060W
FBgn0026378	YOR370C
FBgn0024996	YLR291C
FBgn0022943	YPL178W
FBgn0263251	YHR013C
FBgn0028563	YNL318C
FBgn0039359	YDR471W
FBgn0038369	YLR370C
FBgn0039751	YBL036C
FBgn0029818	YLR088W
FBgn0067628	YGR046W
FBgn0037094	YCL039W
FBgn0026702	YNL221C
FBgn0250837	YBR252W
FBgn0023522	YNL092W
FBgn0011202	YIL159W
FBgn0036487	YGR091W
FBgn0262801	YIR022W
FBgn0031598	YJL029C
FBgn0029502	YOR125C
FBgn0053505	YPR137W
FBgn0014092	YGL221C
FBgn0014877	YOR232W
FBgn0033457	YBR261C
FBgn0032298	YOR272W
FBgn0027378	YPR023C
FBgn0035771	YOR254C
FBgn0261597	YER131W
FBgn0285911	YPL045W
FBgn0033376	YPR189W
FBgn0036973	YAR003W
FBgn0031633	YKL019W
FBgn0031492	YKL012W
FBgn0030421	YDL052C
FBgn0011715	YBR289W
FBgn0024236	YIL023C
FBgn0014075	YOR336W
FBgn0030686	YGR220C
FBgn0024956	YDR460W
FBgn0015218	YOL139C
FBgn0284248	YJR048W
FBgn0020616	YIL026C
FBgn0032465	YGR172C
FBgn0014366	YDL030W
FBgn0029992	YHR077C
FBgn0038772	YLR323C
FBgn0283535	YOR332W
FBgn0052672	YBL078C
FBgn0032643	YDR221W
FBgn0002626	YBL092W
FBgn0000109	YML022W
FBgn0051155	YDR404C
FBgn0037469	YDR196C
FBgn0026777	YEL037C
FBgn0033351	YGL105W
FBgn0038272	YKL191W
FBgn0034186	YGR047C
FBgn0266673	YLR166C
FBgn0025720	YGL017W
FBgn0031043	YPR131C
FBgn0061359	YMR208W
FBgn0013954	YNL135C
FBgn0052076	YGR227W
FBgn0003346	YMR235C
FBgn0033754	YDL166C
FBgn0029664	YNL040W
FBgn0039115	YLR059C
FBgn0033983	YDL174C
FBgn0035601	YGL087C
FBgn0005533	YML024W
FBgn0043791	YDR481C
FBgn0030239	YHR163W
FBgn0261596	YER074W
FBgn0002638	YGL097W
FBgn0031663	YJR069C
FBgn0030616	YLR185W
FBgn0036107	YHR122W
FBgn0037555	YDR448W
FBgn0023495	YKL140W
FBgn0039487	YGR055W
FBgn0036825	YGR034W
FBgn0036309	YNL243W
FBgn0031485	YIL064W
FBgn0039071	YAL062W
FBgn0040291	YOL133W
FBgn0034215	YLR017W
FBgn0020018	YER014W
FBgn0015379	YJR017C
FBgn0032997	YML096W
FBgn0262560	YJL069C
FBgn0036117	YER152C
FBgn0033088	YCR044C
FBgn0038738	YBR139W
FBgn0037874	YKL056C
FBgn0051472	YBR035C
FBgn0086656	YLR025W
FBgn0035438	YBR244W
FBgn0033657	YOR306C
FBgn0027537	YFR002W
FBgn0261608	YPR043W
FBgn0032518	YGR148C
FBgn0035640	YJL030W
FBgn0027518	YOL138C
FBgn0035593	YFL044C
FBgn0003008	YJL024C
FBgn0031450	YNR006W
FBgn0035918	YJL194W
FBgn0043012	YJR058C
FBgn0030670	YPR113W
FBgn0037547	YDR242W
FBgn0052319	YPR051W
FBgn0033485	YKL009W
FBgn0033079	YHR176W
FBgn0029942	YGR031W
FBgn0034422	YDR083W
FBgn0035644	YPR175W
FBgn0003748	YDR001C
FBgn0010412	YOL121C
FBgn0037973	YMR041C
FBgn0027066	YER016W
FBgn0002791	YLR127C
FBgn0029117	YGR112W
FBgn0026738	YHL013C
FBgn0034084	YKL095W
FBgn0052479	YER151C
FBgn0030218	YOR130C
FBgn0035922	YDR142C
FBgn0086710	YGL030W
FBgn0024291	YOR025W
FBgn0034187	YKL017C
FBgn0031454	YDR140W
FBgn0032487	YGR195W
FBgn0031873	YNL107W
FBgn0041775	YPR129W
FBgn0019936	YHL015W
FBgn0052857	YKL040C
FBgn0000527	YBR115C
FBgn0035471	YDL015C
FBgn0037609	YKR030W
FBgn0035423	YNL244C
FBgn0036237	YOR281C
FBgn0042138	YLR118C
FBgn0031822	YPR094W
FBgn0262732	YOR298C-A
FBgn0035173	YNL125C
FBgn0039406	YIL052C
FBgn0037686	YER056C-A
FBgn0029123	YKL032C
FBgn0030431	YDL045C
FBgn0032961	YDR214W
FBgn0031189	YOL093W
FBgn0033349	YIL044C
FBgn0053303	YJL002C
FBgn0003275	YPR187W
FBgn0027615	YER154W
FBgn0010422	YGL043W
FBgn0015781	YER023W
FBgn0038796	YDR429C
FBgn0020389	YJR010W
FBgn0034577	YKL007W
FBgn0260397	YMR020W
FBgn0036838	YKR056W
FBgn0037376	YPL001W
FBgn0027841	YGL044C
FBgn0001612	YNL126W
FBgn0039300	YKL156W
FBgn0286027	YBR236C
FBgn0023496	YLR020C
FBgn0086372	YGR241C
FBgn0039227	YLR357W
FBgn0032397	YHR117W
FBgn0038401	YOL112W
FBgn0015818	YOR319W
FBgn0260940	YPL002C
FBgn0037930	YDR519W
FBgn0032292	YKL207W
FBgn0033382	YMR210W
FBgn0031534	YOR069W
FBgn0037231	YKL041W
FBgn0086694	YDL074C
FBgn0004597	YNL025C
FBgn0033844	YNL130C
FBgn0031948	YHR123W
FBgn0036921	YDL135C
FBgn0029929	YMR132C
FBgn0027583	YMR226C
FBgn0035421	YER019W
FBgn0036734	YDL087C
FBgn0033179	YBL058W
FBgn0037293	YJL031C
FBgn0285949	YLR406C
FBgn0031298	YNL223W
FBgn0011289	YOR194C
FBgn0004855	YGL070C
FBgn0052068	YMR009W
FBgn0261789	YLR275W
FBgn0038047	YPR186C
FBgn0030412	YPR032W
FBgn0029161	YLR168C
FBgn0030800	YEL062W
FBgn0031060	YDL104C
FBgn0040068	YAL041W
FBgn0031250	YAL022C
FBgn0016691	YDR298C
FBgn0260648	YOL142W
FBgn0036277	YBL026W
FBgn0032816	YBL021C
FBgn0037305	YEL038W
FBgn0263605	YDR324C
FBgn0023541	YMR015C
FBgn0039857	YLR448W
FBgn0031068	YGR029W
FBgn0021814	YPL065W
FBgn0027363	YHL002W
FBgn0035715	YNL265C
FBgn0027509	YOR349W
FBgn0260855	YLR268W
FBgn0031309	YPR056W
FBgn0032295	YNL027W
FBgn0032822	YIR005W
FBgn0052708	YNR054C
FBgn0040077	YPR073C
FBgn0030678	YDL001W
FBgn0034141	YMR013C
FBgn0033842	YOR250C
FBgn0032394	YJL097W
FBgn0031044	YIR026C
FBgn0019982	YKL033W-A
FBgn0035236	YKR051W
FBgn0031422	YJL091C
FBgn0031361	YOR004W
FBgn0023181	YPR162C
FBgn0038303	YMR218C
FBgn0033720	YBR074W
FBgn0031356	YKL039W
FBgn0036915	YDR473C
FBgn0034849	YHR181W
FBgn0001222	YGL073W
FBgn0034580	YDR371W
FBgn0069242	YGL002W
FBgn0285947	YOR293W
FBgn0003612	YOR156C
FBgn0260990	YOR112W
FBgn0035233	YDR265W
FBgn0029148	YDL208W
FBgn0034535	YMR035W
FBgn0032016	YCL055W
FBgn0022942	YMR125W
FBgn0034951	YHR001W
FBgn0033812	YLR191W
FBgn0017482	YGL256W
FBgn0035993	YGL237C
FBgn0023521	YKL110C
FBgn0038951	YNR003C
FBgn0035590	YGR262C
FBgn0033204	YOR246C
FBgn0004363	YNL055C
FBgn0032955	YLR133W
FBgn0013343	YMR183C
FBgn0052110	YPL020C
FBgn0264694	YGR078C
FBgn0037087	YPL225W
FBgn0051357	YIL097W
FBgn0038662	YGL080W
FBgn0036740	YDR486C
FBgn0038737	YGL136C
FBgn0051823	YGL203C
FBgn0086904	YHR193C
FBgn0033474	YNL326C
FBgn0030242	YOR058C
FBgn0037656	YMR114C
FBgn0038256	YLR023C
FBgn0052409	YOR294W
FBgn0022069	YDR087C
FBgn0034573	YDR255C
FBgn0038524	YPL244C
FBgn0029785	YDL191W
FBgn0016054	YOR386W
FBgn0014868	YEL002C
FBgn0267376	YCL033C
FBgn0061362	YDR045C
FBgn0027945	YAL044C
FBgn0035449	YML038C
FBgn0267790	YNL004W
FBgn0015828	YKL028W
FBgn0266758	YNL087W
FBgn0029949	YHR076W
FBgn0045866	YML012W
FBgn0030177	YOR056C
FBgn0031094	YPR040W
FBgn0032634	YOL005C
FBgn0286213	YOR369C
FBgn0032258	YPR105C
FBgn0032321	YDR485C
FBgn0033615	YGR093W
FBgn0037141	YDR419W
FBgn0039828	YKL172W
FBgn0032922	YOL096C
FBgn0036372	YCR088W
FBgn0027564	YBL020W
FBgn0000233	YMR070W
FBgn0038976	YML094W
FBgn0004832	YMR201C
FBgn0027549	YDR333C
FBgn0039218	YOR210W
FBgn0039450	YNL263C
FBgn0030630	YKL021C
FBgn0004856	YAL032C
FBgn0045759	YCR065W
FBgn0003321	YPL169C
FBgn0035688	YJL098W
FBgn0032516	YHR090C
FBgn0085423	YLR072W
FBgn0011656	YBR182C
FBgn0260861	YDR246W
FBgn0261787	YDR407C
FBgn0029892	YBR246W
FBgn0011787	YGL068W
FBgn0031851	YDR299W
FBgn0011769	YPL252C
FBgn0031066	YLR038C
FBgn0262512	YGR020C
FBgn0032372	YHR210C
FBgn0002593	YDL081C
FBgn0261456	YIL095W
FBgn0016041	YMR203W
FBgn0034537	YGR002C
FBgn0030120	YPL138C
FBgn0038642	YJL041W
FBgn0022936	YPR025C
FBgn0023167	YLR147C
FBgn0030183	YBL049W
FBgn0052576	YMR292W
FBgn0031777	YGR001C
FBgn0051216	YGL037C
FBgn0037894	YGL241W
FBgn0026141	YDR424C
FBgn0003274	YDR382W
FBgn0052105	YDL106C
FBgn0032799	YPR183W
FBgn0039136	YOR289W
FBgn0019637	YOR123C
FBgn0003480	YDR004W
FBgn0030584	YPL059W
FBgn0040512	YPL010W
FBgn0029709	YGL200C
FBgn0039875	YOL013C
FBgn0003714	YNR036C
FBgn0039836	YBL013W
FBgn0032640	YOR007C
FBgn0010387	YGR037C
FBgn0016978	YIL061C
FBgn0035588	YNL202W
FBgn0031051	YDR335W
FBgn0038491	YJL035C
FBgn0034528	YGR280C
FBgn0034644	YDR173C
FBgn0029976	YML104C
FBgn0031064	YEL063C
FBgn0036764	YFL055W
FBgn0036984	YBR069C
FBgn0011726	YLL050C
FBgn0003499	YKL062W
FBgn0032644	YNR020C
FBgn0035944	YDR084C
FBgn0038234	YNL185C
FBgn0024912	YDL200C
FBgn0039360	YDL142C
FBgn0037761	YJL196C
FBgn0036128	YCR034W
FBgn0260942	YLR372W
FBgn0037714	YHR162W
FBgn0002023	YDR379W
FBgn0037902	YMR253C
FBgn0028693	YFR052W
FBgn0025640	YCR036W
FBgn0262737	YBR233W
FBgn0034744	YMR077C
FBgn0266518	YBR155W
FBgn0261064	YDR323C
FBgn0002914	YKR099W
FBgn0039020	YMR097C
FBgn0029778	YBR260C
FBgn0030063	YKL099C
FBgn0034802	YNL255C
FBgn0040070	YGR209C
FBgn0033169	YJL010C
FBgn0004087	YOR236W
FBgn0031832	YNL062C
FBgn0027784	YGR006W
FBgn0014930	YDR236C
FBgn0013771	YHR007C
FBgn0086472	YGR027C
FBgn0032680	YER009W
FBgn0030509	YGR060W
FBgn0037328	YOR234C
FBgn0028342	YDL004W
FBgn0039172	YLR066W
FBgn0053635	YBL102W
FBgn0025692	YNL305C
FBgn0032910	YDL114W
FBgn0032726	YPL273W
FBgn0036510	YLR128W
FBgn0032001	YLR245C
FBgn0035995	YHR108W
FBgn0033523	YOL071W
FBgn0000339	YGL054C
FBgn0039417	YGR187C
FBgn0033737	YGR119C
FBgn0027868	YDL116W
FBgn0265101	YOR057W
FBgn0032512	YNL039W
FBgn0014031	YFL030W
FBgn0038746	YKL082C
FBgn0266724	YBR254C
FBgn0010288	YJR099W
FBgn0032988	YKL125W
FBgn0261067	YJL124C
FBgn0038065	YOR357C
FBgn0051549	YIR035C
FBgn0033906	YPR028W
FBgn0037653	YDR143C
FBgn0030026	YKL071W
FBgn0000308	YOR122C
FBgn0023171	YMR234W
FBgn0037341	YDR284C
FBgn0034029	YOR260W
FBgn0030411	YER163C
FBgn0036622	YDR018C
FBgn0031183	YJL193W
FBgn0038195	YMR161W
FBgn0036334	YOR020C
FBgn0022224	YNR032C-A
FBgn0021875	YOL022C
FBgn0039830	Q0130
FBgn0035232	YLR427W
FBgn0017558	YIL042C
FBgn0037843	YDR183W
FBgn0039366	YOL003C
FBgn0261599	YLR388W
FBgn0062411	YHR175W
FBgn0063670	YKL160W
FBgn0033413	YLR193C
FBgn0024983	YML067C
FBgn0262114	YGL227W
FBgn0250903	YDL008W
FBgn0034231	YGL240W
FBgn0027356	YDR388W
FBgn0030136	YLR264W
FBgn0037613	YBR135W
FBgn0000181	YPL037C
FBgn0033259	YOL084W
FBgn0015521	YJL136C
FBgn0035169	YLR284C
FBgn0260862	YMR197C
FBgn0259935	YPL190C
FBgn0039045	YCR075C
FBgn0033607	YOL087C
FBgn0030802	YJR014W
FBgn0038810	YPL210C
FBgn0024194	YPL189W
FBgn0038387	YJL104W
FBgn0029121	YMR274C
FBgn0051229	YDL217C
FBgn0005648	YIR001C
FBgn0003116	YHR201C
FBgn0036428	YER054C
FBgn0017579	YKL006W
FBgn0037110	YGR038W
FBgn0046706	YBL009W
FBgn0031106	YOL018C
FBgn0036460	YIR012W
FBgn0025608	YDL091C
FBgn0037199	YGL231C
FBgn0035603	YNL153C
FBgn0259216	YPL115C
FBgn0030645	YBR070C
FBgn0002789	YOR367W
FBgn0260972	YGL208W
FBgn0034982	YEL053C
FBgn0261790	YOR159C
FBgn0040890	YNL024C-A
FBgn0041588	YDR117C
FBgn0029854	YNL111C
FBgn0030575	YHL021C
FBgn0086691	YER057C
FBgn0037883	YBL071W-A
FBgn0033672	YGR101W
FBgn0028507	YDR435C
FBgn0028926	YDR397C
FBgn0031799	YOR208W
FBgn0030081	YDR449C
FBgn0023170	YJL189W
FBgn0040918	YHL003C
FBgn0051759	YMR285C
FBgn0034057	YLR246W
FBgn0033548	YHR072W-A
FBgn0032015	YOR085W
FBgn0022027	YJR102C
FBgn0031710	YDR484W
FBgn0038570	YLR109W
FBgn0000257	YLR396C
FBgn0016715	YMR130W
FBgn0051812	YLR105C
FBgn0037251	YLR239C
FBgn0031344	YAL020C
FBgn0000426	YPR182W
FBgn0031639	YHL004W
FBgn0051390	YOL135C
FBgn0029885	YLR074C
FBgn0013347	YKL058W
FBgn0027495	YHR207C
FBgn0032077	YOR111W
FBgn0032620	YOL041C
FBgn0034642	YNL147W
FBgn0036314	YDL043C
FBgn0036666	YCL008C
FBgn0031589	YOR209C
FBgn0032346	YNL232W
FBgn0031814	YLR380W
FBgn0259167	YPR157W
FBgn0044323	YMR029C
FBgn0033397	YDR402C
FBgn0038080	YOR286W
FBgn0001228	YOR285W
FBgn0051007	YMR002W
FBgn0033929	YDR311W
FBgn0032014	YIL049W
FBgn0038166	YIL007C
FBgn0032929	YIL150C
FBgn0002579	YPL249C-A
FBgn0025679	YMR037C
FBgn0022800	YJL187C
FBgn0261791	YFL017W-A
FBgn0053057	YOL102C
FBgn0039690	YFL017C
FBgn0040005	YFL027C
FBgn0037121	YOR224C
FBgn0030329	YIL005W
FBgn0011509	YKL154W
FBgn0025808	YER173W
FBgn0266674	YGL233W
FBgn0039110	YIL063C
FBgn0020272	YMR211W
FBgn0085453	YER183C
FBgn0035704	YAL002W
FBgn0038903	YJR063W
FBgn0037504	YLR051C
FBgn0019624	YHR051W
FBgn0028471	YGL122C
FBgn0036990	YNL284C
FBgn0030092	YDL120W
FBgn0052442	YLR242C
FBgn0033316	YDL207W
FBgn0030669	YMR150C
FBgn0037873	YKL141W
FBgn0022344	YNL315C
FBgn0053276	YIL008W
FBgn0032720	YOR150W
FBgn0028658	YGL243W
FBgn0032688	YDR289C
FBgn0283536	YHR039C-A
FBgn0038972	YLR179C
FBgn0037433	YLR178C
FBgn0034658	YCL035C
FBgn0034179	YOL065C
FBgn0033226	YDR125C
FBgn0263831	YER041W
FBgn0263852	YOR103C
FBgn0033911	YJR001W
FBgn0031897	YMR010W
FBgn0024909	YMR227C
FBgn0086675	YCL011C
FBgn0029755	YDL153C
FBgn0000250	YIL112W
FBgn0039969	YIL065C
FBgn0033401	YNL041C
FBgn0039163	YDR152W
FBgn0028683	YGR063C
FBgn0051184	YLR438C-A
FBgn0031494	YIL110W
FBgn0034611	YLR004C
FBgn0264922	YDR510W
FBgn0011573	YDR168W
FBgn0261933	YGR074W
FBgn0032240	YER112W
FBgn0035675	YER146W
FBgn0035206	YPR147C
FBgn0030406	YHR040W
FBgn0037020	YGL153W
FBgn0024273	YOR181W
FBgn0030576	YJL163C
FBgn0026324	YDR167W
FBgn0031318	YNL224C
FBgn0003660	YAL030W
FBgn0035146	YMR079W
FBgn0038391	YER040W
FBgn0260222	YLL018C-A
FBgn0061360	YGL220W
FBgn0037369	YER168C
FBgn0036173	YNL328C
FBgn0027360	YHR005C-A
FBgn0026872	YLR251W
FBgn0035532	YGL232W
FBgn0003654	YDR488C
FBgn0028468	YMR088C
FBgn0000447	YKL216W
FBgn0037610	YJR122W
FBgn0032250	YHR156C
FBgn0050493	YLR201C
FBgn0033264	YLR335W
FBgn0064126	YMR067C
FBgn0030793	YGL246C
FBgn0039212	YOR075W
FBgn0034451	YNL148C
FBgn0283652	YHR062C
FBgn0053230	YHL039W
FBgn0033341	YNL136W
FBgn0035960	YGR062C
FBgn0266711	YPL046C
FBgn0010421	YGR005C
FBgn0032519	YPL170W
FBgn0025381	YDR313C
FBgn0030480	YEL020W-A
FBgn0061361	YGL169W
FBgn0051852	YMR028W
FBgn0015271	YNL261W
FBgn0030452	YOR378W
FBgn0036204	YGR181W
FBgn0045064	YPL087W
FBgn0036184	YJR084W
FBgn0032906	YNL312W
FBgn0063492	YLL060C
FBgn0010039	YNL229C
FBgn0030680	YLR375W
FBgn0000565	YER042W
FBgn0036698	YGL001C
FBgn0002716	YHL022C
FBgn0037185	YKR088C
FBgn0260860	YML077W
FBgn0038806	YOR280C
FBgn0031500	YMR152W
FBgn0039576	YDR529C
FBgn0025463	YMR233W
FBgn0031003	YJR129C
FBgn0036306	YBR101C
FBgn0035436	YNL129W
FBgn0011361	YKL192C
FBgn0038438	YDR411C
FBgn0014127	YBL097W
FBgn0038206	YGR080W
FBgn0044871	YHL031C
FBgn0036918	YLR200W
FBgn0010222	YKR080W
FBgn0032261	YOL114C
FBgn0243511	YOL076W
FBgn0032223	YMR136W
FBgn0267976	YNR017W
FBgn0039205	YPR067W
FBgn0035194	YDR013W
FBgn0039403	YDR489W
FBgn0010741	YEL003W
FBgn0033809	YML123C
FBgn0030511	YDR400W
FBgn0033471	YNL035C
FBgn0031997	YDR182W
FBgn0031818	YOL107W
FBgn0263606	YGL018C
FBgn0030876	YKL086W
FBgn0037061	YNR046W
FBgn0011596	YBR179C
FBgn0033473	YMR310C
FBgn0023129	YGR208W
FBgn0033210	YPL213W
FBgn0039639	YGL047W
FBgn0037815	YGR095C
FBgn0037603	YJL004C
FBgn0013432	YER048W-A
FBgn0266671	YIL068C
FBgn0034495	YCL016C
FBgn0017448	YHL016C
FBgn0034956	YNL065W
FBgn0020257	YJR052W
FBgn0052262	YOR292C
FBgn0051787	YAL007C
FBgn0034946	YPL230W
FBgn0019644	YPL078C
FBgn0016726	YFR032C-A
FBgn0024191	YLR424W
FBgn0010750	YBR279W
FBgn0052069	YER074W-A
FBgn0028434	YML095C
FBgn0036488	YPL098C
FBgn0031736	YER127W
FBgn0037550	YJR050W
FBgn0030066	YOR278W
FBgn0036775	YDL150W
FBgn0033086	YOL008W
FBgn0038437	YDR511W
FBgn0040007	YLR325C
FBgn0034893	YPR100W
FBgn0033468	YNL044W
FBgn0266672	YPR055W
FBgn0032388	YOR308C
FBgn0031049	YDR086C
FBgn0038056	YLR097C
FBgn0031459	YDL125C
FBgn0037569	YNL253W
FBgn0042641	YGL225W
FBgn0036111	YOR163W
FBgn0037045	YNL024C
FBgn0032251	YDL105W
FBgn0052446	YNL259C
FBgn0034564	YDR378C
FBgn0039260	YOR166C
FBgn0032847	YML098W
FBgn0030528	YLR151C
FBgn0039509	YBL103C
FBgn0035251	YLR181C
FBgn0031473	YGR232W
FBgn0031877	YDL182W
FBgn0027359	YJR135W-A
FBgn0010228	YMR072W
FBgn0004362	YPR052C
FBgn0035390	YJR100C
FBgn0050100	YLR281C
FBgn0030693	YER116C
FBgn0010774	YDR381W
FBgn0260817	YBR223C
FBgn0266668	YBR102C
FBgn0036255	YBR217W
FBgn0261434	YPR015C
FBgn0005694	YPR013C
FBgn0031418	YML051W
FBgn0035947	YPL243W
FBgn0034058	YOL147C
FBgn0262954	YHR143W-A
FBgn0032293	YDR469W
FBgn0037371	YAL043C
FBgn0033907	YPL013C
FBgn0000152	YBR086C
FBgn0029687	YBL091C-A
FBgn0034877	YGL191W
FBgn0029943	YPL149W
FBgn0033810	YCR090C
FBgn0032168	YKL155C
FBgn0033234	YGR260W
FBgn0031600	YGL198W
FBgn0031282	YMR026C
FBgn0035520	YDL098C
FBgn0030364	YHR121W
FBgn0011227	YGR183C
FBgn0039835	YCR003W
FBgn0015829	YKR062W
FBgn0039869	YOR265W
FBgn0034585	YGL023C
FBgn0036853	YJL096W
FBgn0016120	YKL016C
FBgn0037330	YMR024W
FBgn0259722	YMR244C-A
FBgn0037490	YLR271W
FBgn0037728	YKL117W
FBgn0038421	YDL085C-A
FBgn0037933	YLR205C
FBgn0038461	YJR088C
FBgn0085212	YER139C
FBgn0286788	YLR442C
FBgn0000618	YBR111W-A
FBgn0031437	YIL062C
FBgn0039461	YPL107W
FBgn0035272	YNL252C
FBgn0036580	YMR074C
FBgn0034902	YJR085C
FBgn0035271	YJR022W
FBgn0039112	YLR164W
FBgn0014391	YPL271W
FBgn0039829	YMR269W
FBgn0030435	YGL161C
FBgn0037661	YNL141W
FBgn0030610	YLL009C
FBgn0042092	YOR340C
FBgn0037828	YGR082W
FBgn0032236	YJR113C
FBgn0031708	YGR033C
FBgn0044030	YPR166C
FBgn0040020	YDR308C
FBgn0052099	YGL154C
FBgn0037942	YOR143C
FBgn0036696	YAL033W
FBgn0034033	YJR055W
FBgn0032793	YNL119W
FBgn0010638	YER087C-B
FBgn0033995	YHR078W
FBgn0030503	YGR127W
